date,symbol,position,pnl,cum_pnl
2010-06-08,6J,0.000000,0.000000,0.000000
2010-06-09,6J,0.000000,0.000000,0.000000
2010-06-10,6J,0.000000,-0.000000,0.000000
2010-06-11,6J,0.000000,0.000000,0.000000
2010-06-13,6J,0.000000,-0.000000,0.000000
2010-06-14,6J,0.000000,0.000000,0.000000
2010-06-15,6J,0.000000,0.000000,0.000000
2010-06-16,6J,0.000000,0.000000,0.000000
2010-06-17,6J,0.000000,0.000000,0.000000
2010-06-18,6J,0.000000,0.000000,0.000000
2010-06-20,6J,0.000000,0.000000,0.000000
2010-06-21,6J,0.000000,-0.000000,0.000000
2010-06-22,6J,0.000000,0.000000,0.000000
2010-06-23,6J,0.000000,0.000000,0.000000
2010-06-24,6J,0.000000,0.000000,0.000000
2010-06-25,6J,0.000000,0.000000,0.000000
2010-06-27,6J,0.000000,0.000000,0.000000
2010-06-28,6J,0.000000,0.000000,0.000000
2010-06-29,6J,0.000000,0.000000,0.000000
2010-06-30,6J,0.000000,0.000000,0.000000
2010-07-01,6J,0.000000,0.000000,0.000000
2010-07-02,6J,0.000000,0.000000,0.000000
2010-07-04,6J,0.000000,0.000000,0.000000
2010-07-05,6J,0.000000,0.000000,0.000000
2010-07-06,6J,0.000000,-0.000000,0.000000
2010-07-07,6J,0.000000,0.000000,0.000000
2010-07-08,6J,0.000000,-0.000000,0.000000
2010-07-09,6J,0.000000,0.000000,0.000000
2010-07-11,6J,0.000000,0.000000,0.000000
2010-07-12,6J,0.000000,0.000000,0.000000
2010-07-13,6J,0.000000,0.000000,0.000000
2010-07-14,6J,0.000000,0.000000,0.000000
2010-07-15,6J,0.000000,0.000000,0.000000
2010-07-16,6J,0.000000,0.000000,0.000000
2010-07-18,6J,0.000000,0.000000,0.000000
2010-07-19,6J,0.000000,0.000000,0.000000
2010-07-20,6J,0.000000,-0.000000,0.000000
2010-07-21,6J,0.000000,0.000000,0.000000
2010-07-22,6J,0.000000,0.000000,0.000000
2010-07-23,6J,0.000000,0.000000,0.000000
2010-07-25,6J,0.000000,-0.000000,0.000000
2010-07-26,6J,0.000000,0.000000,0.000000
2010-07-27,6J,0.000000,-0.000000,0.000000
2010-07-28,6J,0.000000,0.000000,0.000000
2010-07-29,6J,0.000000,0.000000,0.000000
